[0.244s] Invoking command in '/home/Dojo/Dojo/build/robot_navigation': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/Dojo/Dojo/build/robot_navigation -- -j16 -l16
[0.717s] Invoked command in '/home/Dojo/Dojo/build/robot_navigation' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/Dojo/Dojo/build/robot_navigation -- -j16 -l16
[0.719s] Invoking command in '/home/Dojo/Dojo/build/robot_navigation': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/Dojo/Dojo/build/robot_navigation
[0.726s] -- Install configuration: ""
[0.727s] -- Execute custom install script
[0.727s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/navigation.launch.py
[0.728s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/localization.launch.py
[0.728s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/map_server.launch.py
[0.728s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/nav2_params.yaml
[0.729s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/localization_params.yaml
[0.730s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/map_server_params.yaml
[0.730s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/bt_navigator_params.yaml
[0.730s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/planner_params.yaml
[0.731s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/controller_params.yaml
[0.731s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/costmap_common_params.yaml
[0.732s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/global_costmap_params.yaml
[0.733s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/local_costmap_params.yaml
[0.733s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/launch/localization.launch.py
[0.734s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/launch/map_server.launch.py
[0.735s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/launch/navigation.launch.py
[0.736s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/bt_navigator_params.yaml
[0.736s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/controller_params.yaml
[0.736s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/costmap_common_params.yaml
[0.736s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/global_costmap_params.yaml
[0.736s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/local_costmap_params.yaml
[0.738s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/localization_params.yaml
[0.738s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/map_server_params.yaml
[0.738s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/nav2_params.yaml
[0.738s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/planner_params.yaml
[0.738s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/bt_navigator_params.yaml
[0.738s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/controller_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/costmap_common_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/global_costmap_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/local_costmap_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/localization_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/map_server_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/nav2_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/config/planner_params.yaml
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/launch/localization.launch.py
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/launch/map_server.launch.py
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/launch/navigation.launch.py
[0.739s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/ament_index/resource_index/package_run_dependencies/robot_navigation
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/ament_index/resource_index/parent_prefix_path/robot_navigation
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/environment/ament_prefix_path.sh
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/environment/ament_prefix_path.dsv
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/environment/path.sh
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/environment/path.dsv
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/local_setup.bash
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/local_setup.sh
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/local_setup.zsh
[0.740s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/local_setup.dsv
[0.740s] -- Symlinking: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/package.dsv
[0.748s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/ament_index/resource_index/packages/robot_navigation
[0.748s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/cmake/robot_navigationConfig.cmake
[0.749s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/cmake/robot_navigationConfig-version.cmake
[0.749s] -- Up-to-date symlink: /home/Dojo/Dojo/install/robot_navigation/share/robot_navigation/package.xml
