[0.000000] (-) TimerEvent: {}
[0.000407] (-) JobUnselected: {'identifier': 'arduino_bridge'}
[0.000537] (-) JobUnselected: {'identifier': 'camera_ros'}
[0.000719] (-) JobUnselected: {'identifier': 'nv21_converter_pkg'}
[0.000781] (-) JobUnselected: {'identifier': 'robot_bringup'}
[0.000799] (-) JobUnselected: {'identifier': 'robot_control'}
[0.000814] (-) JobUnselected: {'identifier': 'robot_description'}
[0.000865] (-) JobUnselected: {'identifier': 'robot_hardware'}
[0.000895] (-) JobUnselected: {'identifier': 'robot_interfaces'}
[0.000942] (-) JobUnselected: {'identifier': 'robot_launch'}
[0.001020] (-) JobUnselected: {'identifier': 'robot_navigation'}
[0.001038] (-) JobUnselected: {'identifier': 'robot_perception'}
[0.001051] (-) JobUnselected: {'identifier': 'robot_sensors'}
[0.001064] (-) JobUnselected: {'identifier': 'ros2arduino_bridge'}
[0.001078] (-) JobUnselected: {'identifier': 'vision_system'}
[0.001115] (robot_gazebo) JobQueued: {'identifier': 'robot_gazebo', 'dependencies': OrderedDict([('robot_control', '/root/Dojo/install/robot_control'), ('robot_description', '/root/Dojo/install/robot_description')])}
[0.001141] (robot_gazebo) JobStarted: {'identifier': 'robot_gazebo'}
[0.014434] (robot_gazebo) JobProgress: {'identifier': 'robot_gazebo', 'progress': 'cmake'}
[0.015657] (robot_gazebo) JobProgress: {'identifier': 'robot_gazebo', 'progress': 'build'}
[0.016360] (robot_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--build', '/root/Dojo/build/robot_gazebo', '--', '-j16', '-l16'], 'cwd': '/root/Dojo/build/robot_gazebo', 'env': OrderedDict([('HOSTNAME', 'gareth-joel-HP-Pavilion-Gaming-Laptop-15-ec2xxx'), ('SHLVL', '0'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('QT_X11_NO_MITSHM', '1'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/root/Dojo/install/robot_description:/root/Dojo/install/robot_control:/opt/ros/humble'), ('PWD', '/root/Dojo/build/robot_gazebo'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/root/Dojo/install/robot_description/local/lib/python3.10/dist-packages:/root/Dojo/build/robot_control:/root/Dojo/install/robot_control/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/root/Dojo/install/robot_description:/opt/ros/humble')]), 'shell': False}
[0.076436] (robot_gazebo) CommandEnded: {'returncode': 0}
[0.077168] (robot_gazebo) JobProgress: {'identifier': 'robot_gazebo', 'progress': 'install'}
[0.088947] (robot_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--install', '/root/Dojo/build/robot_gazebo'], 'cwd': '/root/Dojo/build/robot_gazebo', 'env': OrderedDict([('HOSTNAME', 'gareth-joel-HP-Pavilion-Gaming-Laptop-15-ec2xxx'), ('SHLVL', '0'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('QT_X11_NO_MITSHM', '1'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/root/Dojo/install/robot_description:/root/Dojo/install/robot_control:/opt/ros/humble'), ('PWD', '/root/Dojo/build/robot_gazebo'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/root/Dojo/install/robot_description/local/lib/python3.10/dist-packages:/root/Dojo/build/robot_control:/root/Dojo/install/robot_control/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/root/Dojo/install/robot_description:/opt/ros/humble')]), 'shell': False}
[0.099335] (robot_gazebo) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.099708] (-) TimerEvent: {}
[0.099992] (robot_gazebo) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.100441] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/complete_simulation.launch.py\n'}
[0.100570] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/docker_simulation.launch.py\n'}
[0.100734] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/full_simulation.launch.py\n'}
[0.100856] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/gazebo.launch.py\n'}
[0.100957] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/perception_wrapper.launch.py\n'}
[0.101049] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/robot_simulation.launch.py\n'}
[0.101139] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/simple_simulation.launch.py\n'}
[0.101227] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/launch/simulation.launch.py\n'}
[0.101459] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/config/diff_drive_controller.yaml\n'}
[0.101555] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/config/ekf_config.yaml\n'}
[0.101692] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/config/ros2_control.yaml\n'}
[0.101849] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/config/slam_config.yaml\n'}
[0.102068] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/rviz/complete_simulation.rviz\n'}
[0.102179] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/rviz/full_simulation.rviz\n'}
[0.102300] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/rviz/robot_simulation.rviz\n'}
[0.102402] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/rviz/simulation.rviz\n'}
[0.103031] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/agriculture.world\n'}
[0.103148] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/azcar.world\n'}
[0.103267] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/barrels.world\n'}
[0.103370] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/canyonview_field.world\n'}
[0.103464] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/city_osm_roundabout.world\n'}
[0.103552] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/city_osm_roundabout_combined.world\n'}
[0.103659] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/cyberzoo.world\n'}
[0.103789] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/cyberzoo2019_orange_poles.world\n'}
[0.103895] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/cyberzoo2019_orange_poles_panels.world\n'}
[0.103995] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/cyberzoo2019_orange_poles_panels_mats.world\n'}
[0.104125] (robot_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /root/Dojo/install/robot_gazebo/share/robot_gazebo/worlds/cyberzoo2019_ralphthesis2020.world\n'}
